security_id,rating_date,rating_type,total_vendors,score_min,score_max,score_diff,is_outlier,precision,outlier_pct
AM93THG,2024-01-06,Short Term,1,7.0,7.0,0,0,1.0,0
AM93THG,2024-01-09,Long Term,2,0.0,3.0,3,1,1.0,1
AM93THG,2024-01-23,Short Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-01-25,Long Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-01-26,Short Term,1,4.0,4.0,0,0,1.0,0
AM93THG,2024-02-03,Long Term,1,3.0,3.0,0,0,1.0,0
AM93THG,2024-02-09,Long Term,1,1.0,1.0,0,0,1.0,0
AM93THG,2024-02-10,Long Term,2,2.0,6.0,4,1,1.0,1
AM93THG,2024-02-27,Short Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-03-01,Long Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-03-07,Short Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-03-08,Long Term,1,0.0,0.0,0,0,1.0,0
AM93THG,2024-03-15,Short Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-03-16,Short Term,1,6.0,6.0,0,0,1.0,0
AM93THG,2024-03-24,Long Term,1,6.0,6.0,0,0,1.0,0
AM93THG,2024-04-04,Long Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-04-09,Short Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-04-10,Short Term,1,9.0,9.0,0,0,1.0,0
AM93THG,2024-04-16,Long Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-04-20,Long Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-04-21,Short Term,1,8.0,8.0,0,0,1.0,0
AM93THG,2024-04-27,Short Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-04-28,Short Term,1,9.0,9.0,0,0,1.0,0
AM93THG,2024-05-07,Short Term,1,3.0,3.0,0,0,1.0,0
AM93THG,2024-05-19,Short Term,1,1.0,1.0,0,0,1.0,0
AM93THG,2024-05-25,Short Term,1,3.0,3.0,0,0,1.0,0
AM93THG,2024-06-04,Long Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-06-06,Short Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-06-07,Long Term,1,4.0,4.0,0,0,1.0,0
AM93THG,2024-06-08,Short Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-06-11,Short Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-06-22,Short Term,1,9.0,9.0,0,0,1.0,0
AM93THG,2024-06-24,Short Term,1,6.0,6.0,0,0,1.0,0
AM93THG,2024-06-25,Long Term,1,1.0,1.0,0,0,1.0,0
AM93THG,2024-06-29,Short Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-07-01,Long Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-07-01,Short Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-07-05,Short Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-07-09,Short Term,1,1.0,1.0,0,0,1.0,0
AM93THG,2024-07-10,Short Term,1,4.0,4.0,0,0,1.0,0
AM93THG,2024-07-25,Short Term,1,0.0,0.0,0,0,1.0,0
AM93THG,2024-07-26,Short Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-08-03,Short Term,1,1.0,1.0,0,0,1.0,0
AM93THG,2024-08-06,Short Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-08-09,Short Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-08-14,Long Term,1,8.0,8.0,0,0,1.0,0
AM93THG,2024-08-15,Long Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-08-17,Short Term,1,0.0,0.0,0,0,1.0,0
AM93THG,2024-08-18,Short Term,1,6.0,6.0,0,0,1.0,0
AM93THG,2024-08-27,Short Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-09-02,Long Term,1,2.0,2.0,0,0,1.0,0
AM93THG,2024-09-03,Long Term,1,3.0,3.0,0,0,1.0,0
AM93THG,2024-09-06,Long Term,1,5.0,5.0,0,0,1.0,0
AM93THG,2024-09-15,Short Term,1,4.0,4.0,0,0,1.0,0
AM93THG,2024-09-23,Long Term,1,0.0,0.0,0,0,1.0,0
AM93THG,2024-09-26,Long Term,1,0.0,0.0,0,0,1.0,0
