security_id,security_name,sector,country,vendor,rating_type,rating_date,rating_code,vendor_code,vendor_id,source_feed_id
SEC_1000,Security_0,Telecom,Germany,DBRS,Long Term,2021-01-01,A+,DBR762,2,FEED_8869
SEC_1000,Security_0,Telecom,Germany,DBRS,Long Term,2021-06-10,AAA,DBR320,2,FEED_3956
SEC_1000,Security_0,Telecom,Germany,DBRS,Long Term,2021-03-10,B+,DBR952,2,FEED_8710
SEC_1000,Security_0,Telecom,Germany,DBRS,Long Term,2022-12-10,B,DBR595,2,FEED_7017
SEC_1000,Security_0,Telecom,Germany,DBRS,Long Term,2021-10-12,BB-,DBR336,2,FEED_4384
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2021-01-01,AA-,MOR336,7,FEED_1028
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2021-09-09,A+,MOR318,7,FEED_9897
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2022-06-05,BB-,MOR586,7,FEED_8756
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2022-06-01,BB+,MOR560,7,FEED_7948
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2021-08-21,AA-,MOR762,7,FEED_6755
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2021-07-30,A-,MOR734,7,FEED_4602
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2024-07-20,D,MOR243,7,FEED_6062
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2023-03-17,AA+,MOR288,7,FEED_9071
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2025-05-12,BB-,MOR354,7,FEED_8244
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2023-03-31,A,MOR167,7,FEED_7372
SEC_1000,Security_0,Telecom,Germany,Morningstar,Long Term,2022-07-25,BB,MOR715,7,FEED_8105
SEC_1000,Security_0,Telecom,Germany,S&P,Short Term,2021-01-01,A-,S&P435,8,FEED_4581
SEC_1000,Security_0,Telecom,Germany,S&P,Short Term,2021-08-08,AAA,S&P770,8,FEED_3762
SEC_1000,Security_0,Telecom,Germany,S&P,Short Term,2021-10-28,BB-,S&P920,8,FEED_1572
SEC_1000,Security_0,Telecom,Germany,S&P,Short Term,2023-02-26,AA,S&P973,8,FEED_8705
SEC_1000,Security_0,Telecom,Germany,S&P,Short Term,2023-06-28,BBB+,S&P508,8,FEED_1614
SEC_1000,Security_0,Telecom,Germany,S&P,Short Term,2023-04-11,A+,S&P399,8,FEED_5050
SEC_1000,Security_0,Telecom,Germany,S&P,Short Term,2025-03-05,D,S&P701,8,FEED_1325
SEC_1000,Security_0,Telecom,Germany,Fitch,Short Term,2021-01-01,BBB,FIT456,3,FEED_4740
SEC_1000,Security_0,Telecom,Germany,Fitch,Short Term,2021-07-29,CC,FIT355,3,FEED_1358
SEC_1000,Security_0,Telecom,Germany,Fitch,Short Term,2021-06-12,BB,FIT452,3,FEED_4777
SEC_1000,Security_0,Telecom,Germany,Fitch,Short Term,2022-03-03,A+,FIT831,3,FEED_6906
SEC_1000,Security_0,Telecom,Germany,Fitch,Short Term,2022-07-23,CC,FIT620,3,FEED_2721
SEC_1000,Security_0,Telecom,Germany,Fitch,Short Term,2023-12-17,CC,FIT623,3,FEED_2349
SEC_1000,Security_0,Telecom,Germany,Fitch,Short Term,2021-07-06,AA+,FIT936,3,FEED_4696
